model,seed,hidden,train_seq_len,eval_seq_len,steps,batch_size,n_keys,n_values,n_pairs,lr,params,train_loss_last,eval_loss,eval_acc,seconds_train,seconds_eval,run
transformer,2,48,64,3200,1000,64,16,16,8,0.001,30784,0.0002076494856737554,6.572806072235108,0.0623046875,63.8090922832489,16.26950693130493,dabsn_thesis_20260630_012013_mqar_length_ood
transformer_rope,0,48,64,64,1000,64,16,16,8,0.001,30784,3.2100761018227786e-05,4.604204004863277e-05,1.0,64.34145760536194,0.603987455368042,dabsn_thesis_20260630_012013_mqar_length_ood
transformer_rope,0,48,64,128,1000,64,16,16,8,0.001,30784,3.2100761018227786e-05,0.15933533608913422,0.9626953125,64.34145760536194,0.9076383113861084,dabsn_thesis_20260630_012013_mqar_length_ood
transformer_rope,0,48,64,256,1000,64,16,16,8,0.001,30784,3.2100761018227786e-05,1.3079420924186707,0.77578125,64.34145760536194,1.532076358795166,dabsn_thesis_20260630_012013_mqar_length_ood
transformer_rope,0,48,64,512,1000,64,16,16,8,0.001,30784,3.2100761018227786e-05,5.653835105895996,0.320703125,64.34145760536194,2.830179452896118,dabsn_thesis_20260630_012013_mqar_length_ood
transformer_rope,0,48,64,1024,1000,64,16,16,8,0.001,30784,3.2100761018227786e-05,7.111414289474487,0.189453125,64.34145760536194,5.293806552886963,dabsn_thesis_20260630_012013_mqar_length_ood
transformer_rope,0,48,64,2000,1000,64,16,16,8,0.001,30784,3.2100761018227786e-05,8.399957132339477,0.1158203125,64.34145760536194,10.18818187713623,dabsn_thesis_20260630_012013_mqar_length_ood
transformer_rope,0,48,64,3200,1000,64,16,16,8,0.001,30784,3.2100761018227786e-05,8.924872779846192,0.091796875,64.34145760536194,16.246562480926514,dabsn_thesis_20260630_012013_mqar_length_ood
transformer_rope,1,48,64,64,1000,64,16,16,8,0.001,30784,4.581773828249425e-05,5.6118358043022456e-05,1.0,64.42595481872559,0.5985686779022217,dabsn_thesis_20260630_012013_mqar_length_ood
transformer_rope,1,48,64,128,1000,64,16,16,8,0.001,30784,4.581773828249425e-05,0.17631041035056114,0.9580078125,64.42595481872559,0.9072401523590088,dabsn_thesis_20260630_012013_mqar_length_ood
